binomial,PCA,Segment classification,Colour discriminability
Buteo lagopus,-0.53,-0.47,-0.54
Buteo magnirostris,-0.79,-0.81,-0.73
Buteo platypterus,-0.52,-0.61,-0.52
Buthraupis montana,-0.06,-0.33,-0.68
Cacatua galerita,0.7,-0.51,-0.75
Cacicus cela,0.37,1.5,0.12
Cairina moschata,0.27,0.13,0.33
Calamanthus campestris,0.06,-0.49,-0.43
Calamospiza melanocorys,3.1,1.12,1.03
Calandrella cinerea,0.02,-0.52,-0.67
Calcarius lapponicus,0.51,0.06,0.23
Calcarius mccownii,0.4,-0.11,0.1
Calcarius ornatus,0.86,0.15,0.52
Calcarius pictus,0.37,0.07,0.34
Calidris acuminata,-0.68,-0.79,-0.52
Calidris alba,0.84,-0.04,-0.42
Calidris alpina,-0.39,-0.73,-0.68
Calidris bairdii,-0.25,-0.68,-0.61
Calidris canutus,-0.33,-0.65,-0.57
Calidris fuscicollis,-0.34,-0.76,-0.77
Calidris himantopus,-0.42,-0.69,-0.64
Calidris maritima,-0.34,-0.56,-0.65
Calidris mauri,-0.03,-0.43,-0.52
Calidris melanotos,-0.5,-0.52,-0.48
Calidris minuta,-0.24,-0.56,-0.51
Calidris minutilla,-0.66,-0.71,-0.7
Calidris ptilocnemis,-0.22,-0.63,-0.53
Calidris pusilla,-0.11,-0.68,-0.63
Calidris ruficollis,-0.2,-0.52,-0.45
Calidris temminckii,-0.72,-0.76,-0.62
Callipepla californica,0.27,0.14,0.47
Callipepla gambelii,1.65,0.45,0.21
Callipepla squamata,0.01,-0.57,-0.62
Callocephalan fimbriatun,-0.06,1.52,0.95
Calypte anna,0.06,1.28,1.19
Calyptorhynchus banksii,-0.24,0.46,0.5
Capito niger,-0.18,-0.07,1.32
Cardinalis cardinalis,0.24,1.19,1.81
Cardinalis sinuatus,-0.42,0.57,1.09
Carduelis cannabina,-0.55,-0.19,-0.07
Carduelis carduelis,-0.55,-0.46,-0.4
Carduelis chloris,-0.09,0.38,1.21
Carduelis flammea,-0.2,0.32,0.22
Carduelis hornemanni,-0.22,-0.17,0.01
Carduelis pinus,0.34,-0.04,0.15
Carduelis psaltria,0.63,0.84,2.46
Carduelis tristis,2.27,1.22,1.92
Carpodacus cassinii,0.14,0.41,0.2
Carpodacus erythrinus,-0.52,0.62,0.23
Carpodacus mexicanus,0.01,0.26,0.14
Carpodacus purpureus,-0.07,0.9,0.86
Casmerodius albus,0.17,-0.72,-0.72
Catharus aurantiirostris,-0.34,-0.58,-0.72
Catharus fuscescens,-0.71,-0.46,-0.3
Catharus gracilirostris,-0.73,-0.71,-0.59
Catharus guttatus,-0.36,-0.58,-0.39
Catharus minimus,-0.6,-0.59,-0.42
Catharus occidentalis,-0.47,-0.76,-0.7
Catharus ustulatus,-0.73,-0.16,0.49
Centropus phasianinus,-0.46,-0.74,-0.58
Cepphus columba,-0.33,-0.32,-0.35
Cepphus grylle,-0.7,-0.62,-0.75
Cercomacra tyrannina,0.18,-0.72,-0.69
Certhilauda albofasciata,-0.58,1.52,1.42
Certhionyx variegatus,2.72,-0.61,-0.32
Ceryle alcyon,1.15,1.45,1.49
Ceryle rudis,1.42,0.61,0.07
Chaetura pelagica,-,0.04,-0.49
Charadrius bicinctus,-0.21,-0.62,-0.57
Charadrius dubius,-0.23,-0.73,-0.77
Charadrius hiaticula,-0.27,-0.64,-0.62
Charadrius marginatus,-0.42,-0.78,-0.75
Charadrius melanops,0.18,-0.5,-0.62
Charadrius morinellus,-0.34,-0.72,-0.63
Charadrius rubricollis,-0.57,-0.53,-0.58
Charadrius ruficapillus,0.08,-0.36,-0.51
Charadrius semipalmatus,0.43,-0.03,-0.15
Charadrius tricollaris,-0.86,-0.87,-0.83
Charadrius vociferus,0.24,-0.4,-0.45
Chenonetta jubatta,2.73,0.77,-0.1
Chionis minor,-0.79,-0.6,-0.63
Chiroxiphia caudata,0.34,2.56,2.68
Chiroxiphia linearis,1.27,3.39,2.21
Chiroxiphia pareola,2.31,2.31,2.41
Chlamydera cerviniventris,0.97,-0.67,-0.63
Chlamydera maculata,-0.6,0.11,-0.17
Chlamydera nuchalis,1.44,0.37,0.21
Chlidonias niger,1.42,-0.64,-0.76
Chloroceryle americana,0.51,0.65,1.19
Chordeiles acutipennis,0.16,-0.39,-0.22
Chordeiles minor,3.4,1.16,0.26
Chyrsococcyx lucidus,-0.53,-0.61,-0.41
Cicinnurus regius,2.09,3.75,-
Cinclorhamphus cruralis,1.39,0.16,-0.09
Cinclorhamphus mathewsi,-0.78,-0.73,-0.64
Cinclosoma castaneothorax,0.49,0.49,0.84
Cinclosoma cinnomoneum,0.3,0.19,0.57
Cinclosoma punctatum,0.7,-0.2,0.3
